x,y,z,cluster,body,severity
0.54802376,0.15877508,0.6253832,0.0,,0.0
0.7985663,0.05639968,0.21860147,0.0,,0.0
0.6140526,0.7456816,0.19999775,0.0,,0.0
0.7165272,0.35572895,0.37716943,0.0,,0.0
0.58967316,0.72242725,0.22237335,0.0,,0.0
0.6441772,0.7506217,0.22180754,0.0,,0.0
0.78231305,0.8162214,0.6382922,0.0,,0.0
0.58298707,0.19948578,0.49449337,0.0,,0.0
0.36390895,0.5170803,0.87936646,0.0,,0.0
0.75072277,0.34134623,0.3960673,0.0,,0.0
0.21606176,0.7598691,0.40918177,0.0,,0.0
0.58016205,0.19114128,0.4950182,0.0,,0.0
0.6323086,0.47204626,0.6217292,0.0,,0.0
0.778582,0.8100551,0.63347745,0.0,,0.0
0.6760856,0.22097534,0.80476105,0.0,,0.0
0.55395657,0.16545798,0.5982952,0.0,,0.0
0.46533003,0.66053855,0.56080914,0.0,,0.0
0.7804185,0.8197832,0.6391992,0.0,,0.0
0.5730983,0.73611146,0.21980779,0.0,,0.0
0.18662287,0.51656306,0.50697154,0.0,,0.0
0.7444681,0.34633836,0.37271166,0.0,,0.0
0.78535134,0.7951387,0.6163531,0.0,,0.0
0.09739061,0.43623394,0.3860544,0.0,,0.0
0.21903616,0.75690144,0.40622276,0.0,,0.0
0.5857548,0.3502994,0.051225238,0.0,,0.0
0.4294482,0.34980175,0.5391563,0.0,,0.0
0.37485987,0.72674334,0.61295223,5.0,,75.0
0.59881586,0.71880215,0.23890883,0.0,,0.0
0.6686802,0.4686866,0.64704025,0.0,,0.0
0.6073529,0.7515727,0.20102617,0.0,,0.0
0.7525365,0.3412696,0.40731832,0.0,,0.0
0.4635856,0.6745259,0.51846504,6.0,,81.25
0.64905745,0.6928489,0.21499375,0.0,,0.0
0.07571312,0.43056515,0.3388698,0.0,,0.0
0.6465913,0.3863966,0.011530062,0.0,,0.0
0.70592254,0.7457509,0.66447335,0.0,,0.0
0.39594328,0.71315354,0.6197668,0.0,,0.0
0.8602182,0.44692382,0.78051126,0.0,,0.0
0.18286851,0.51693064,0.5107536,0.0,,0.0
0.37620044,0.72656184,0.61335206,6.0,,81.25
0.5469156,0.16693266,0.6316078,0.0,,0.0
0.61651504,0.7244476,0.21011488,0.0,,0.0
0.60189354,0.7377062,0.2409573,0.0,,0.0
0.80373776,0.79514855,0.64449805,0.0,,0.0
0.7983676,0.7845803,0.62327147,0.0,,0.0
0.77352905,0.07185974,0.23118427,0.0,,0.0
0.80580515,0.7932707,0.6434134,0.0,,0.0
0.6094695,0.7459222,0.2543041,0.0,,0.0
0.1869635,0.5173175,0.5065976,0.0,,0.0
0.41155815,0.32374474,0.5328953,0.0,,0.0
0.6707616,0.4695342,0.6494795,0.0,,0.0
0.7768639,0.33280483,0.41686124,0.0,,0.0
0.38917717,0.7102548,0.60856116,0.0,,0.0
0.6393871,0.47427866,0.61776817,0.0,,0.0
0.49094194,0.36442038,0.85875386,0.0,,0.0
0.5766413,0.35349247,0.06645515,0.0,,0.0
0.58348227,0.19986027,0.50654656,0.0,,0.0
0.25142786,0.7335653,0.38455877,0.0,,0.0
0.7276875,0.34595996,0.35782617,0.0,,0.0
0.4202726,0.32193047,0.5256715,0.0,,0.0
0.6380427,0.7434001,0.19704312,0.0,,0.0
0.659775,0.41678458,0.01870551,0.0,,0.0
