,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_lmt,attack_cat,Label,sIPtype,dIPtype
239919,tcp,FIN,0.004502,1470,1728,31,29,5,4,-,2494891.2,2852065.8,22,14,255,255,3358563587,1209319715,67,123,0,0,13.182416,0.372996,0.214381,0.285692,0.000812,0.000649,0.000163,0,0,0.0,0,0,9,5,7,4,1,1,1,normal,0,ext,ext
585956,tcp,FIN,0.024897,2766,26160,31,29,7,16,-,868859.7,8223320.0,44,46,255,255,3264093234,1119012193,63,569,0,0,35.475376,35.338398,0.585286,0.538956,0.000813,0.000634,0.000179,0,0,0.0,0,0,2,6,3,3,1,1,2,normal,0,ext,ext
355218,udp,CON,0.000964,130,162,31,29,0,0,dns,539419.06,672199.2,2,2,0,0,0,0,65,81,0,0,0.0,0.0,0.002,0.003,0.0,0.0,0.0,0,0,0.0,0,0,3,4,2,2,2,2,2,normal,0,ext,ext
1516626,tcp,FIN,0.012868,2438,19918,31,29,7,13,-,1475909.2,12073982.0,38,40,255,255,1279620991,1296057858,64,498,0,0,20.001955,18.650969,0.358743,0.326105,0.000586,0.000473,0.000113,0,0,0.0,0,0,7,11,3,4,1,1,2,normal,0,ext,ext
1966959,udp,CON,0.001067,146,178,31,29,0,0,dns,547329.0,667291.5,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.009,0.007,0.0,0.0,0.0,0,0,0.0,0,0,3,1,2,2,2,1,1,normal,0,ext,ext
1569080,udp,CON,0.001013,146,178,31,29,0,0,dns,576505.44,702862.75,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.009,0.009,0.0,0.0,0.0,0,0,0.0,0,0,3,6,7,3,1,1,2,normal,0,ext,ext
1859698,udp,CON,0.066161,528,304,31,29,0,0,-,47883.195,27569.111,4,4,0,0,0,0,132,76,0,0,20.301271,14.612833,14.361667,10.339333,0.0,0.0,0.0,0,0,0.0,0,0,22,12,5,3,1,1,6,normal,0,ext,ext
327640,tcp,FIN,0.032637,7816,15296,31,29,30,32,-,1900174.6,3719704.5,122,126,255,255,2872763940,2869648892,64,121,0,0,17.048866,14.439293,0.269108,0.256944,0.000654,0.000512,0.000142,0,0,0.0,0,0,6,3,1,3,1,1,1,normal,0,ext,ext
737762,tcp,FIN,1.004566,1684,10168,31,29,3,4,http,12455.131,76482.78,14,18,255,255,43441844,44530004,120,565,1,0,8764.0205,7672.6187,77.24761,59.0507,0.000831,0.000699,0.000132,0,0,1.0,0,0,2,1,2,9,1,1,1,normal,0,ext,ext
572347,tcp,FIN,0.049265,3390,44426,31,29,7,22,-,540749.0,7089982.5,56,58,255,255,2080733442,2081047183,61,766,0,0,54.199394,51.634274,0.889291,0.844754,0.001265,0.001107,0.000158,0,0,0.0,0,0,12,5,2,8,1,1,1,normal,0,ext,ext
