x,y,z,cluster,body,severity
0.3373709568409724,0.0661972416052134,0.1652378223124344,21.0,B737 Captain reported trailing edge flaps would not retract beyond 27 degrees during missed approach. Crew ran the QRH declared an emergency and landed normally.,50.13
0.9434864853320302,0.1833569556329709,0.1608354719027966,3.0,Passenger vomit removal from the previous flight was completed but the offensive odor remained after extensive cleaning. Management strongly suggested the crew complete the scheduled round trip or be ordered to do so with the aircraft in the current condition.,50.47
0.920452483824608,0.1597130315292102,0.0893414581221925,3.0,Flight crew reported a possible fume event during departure and again during arrival.,50.47
0.4404731052389117,0.3148918157516847,0.1005476145075145,41.0,B737 encountered birds after takeoff and experienced Number 1 Engine vibration. Flight crew elected to return where they found damaged blades.,78.19
0.5395037184914573,0.2061103188785601,0.0603124588572128,30.0,Both MD80 hydraulic system reservoirs foamed and after landing both system pressures went to zero and quantities increased to 1618 quarts. The Hydraulic System Failure checklists confused the situation because after the transfer pump was turned off right system pressure returned to normal the left did not.,74.87
0.9510588468726504,0.1797006533902358,0.1334676748258882,3.0,Flight Attendant in charge reported strong sulfur type odor for most of the flight resulting in the cabin crew experiencing health issues.,50.47
0.3861451688317295,0.2029069857306006,0.2601388659694068,61.0,A C560XL Captain reported the aircrafts elevator trim was jammed on takeoff and unresponsive either electrically or mechanically. Excessive control forces were required to control the aircraft. The crew returned to the departure airport.,55.23
0.5182128172671017,0.18463058660774,0.0473609269933512,29.0,A319 First Officer experiences the loss of the Yellow Hydraulic system during climb out. The crew elects to return to the departure airport.,81.73
0.900563021219193,0.2062653466019493,0.1024301015323787,3.0,EMB145 First Officer reported burning electrical odor on flight deck which was also reported by flight attendants in the cabin. Flight crew executed an uneventful diversion.,50.47
0.3439183764485742,0.4515550259672157,0.335809193451236,47.0,Student pilot reported loss of control after landing and attempting to exit on taxiway.,58.98
0.5333954038784197,0.2038193253966886,0.0671938767310126,30.0,A B757 EICAS alerted LT HYD SYS PRESS so the crew completed the QRH first securing the engine driven pump then as the fluid loss continued secured the left electric hydraulic pump to slow fluid loss conserving it for the emergency landing.,74.87
0.938741229095542,0.181669958398443,0.1458066613653156,3.0,Flight Attendant reported a passenger sprayed Lysol on and around his seat.,50.47
0.6003431199410993,0.3794120991726996,0.1030716322711896,70.0,An RV8 developed an oil cooler leak during flight which was only discovered after landing because of oil puddles. The cooler was a year old with in service time of 10.5 hours.,86.8
0.49035286628358,0.384812721766459,0.1854437588845964,55.0,Beechcraft C23 pilot reported a loss of engine power on climb out resulting in return to airport.,81.15
0.406104129243299,0.4411343715336572,0.3387733668575136,47.0,PA28 student pilot reports inadvertent toe brake actuation during landing resulted in a runway excursion.,58.98
0.9198389740711465,0.1592075242890103,0.0798457750191133,3.0,A319 flight crew reported a fume event during initial climb which dissipated only to return on descent at destination.,50.47
0.4967595535513752,0.3055622813857858,0.2823404442612597,58.0,Pilot reported not obtaining a Ferry Permit after loss of electrical power caused a runway excursion.,60.53
0.6208626270940053,0.2803989114781462,0.1267175870546089,57.0,EMB145 FO reported the flight crew decided to proceed to an alternate VFR when PHX TRACON shut down because of a fire.,65.45
0.9091155286058826,0.1839624410692882,0.1226784801376418,3.0,B737800 First Officer reported Flight Attendant notification of burning wire fumes in the passenger cabin. Captain executed an uneventful diversion after flight attendants in aft galley reported physiological symptoms.,50.47
0.14968909384219,0.1567785799959417,0.2035524398747488,17.0,Air carrier flight crew and a Flight Attendant reported diverting to a nearby alternate after several injuries resulted from a turbulence encounter.,87.34
0.3704959910013976,0.4593301738264208,0.3253706347582992,47.0,An LSA ran off the runway on landing when the instructor pilot was unable to overcome the inappropriate actions of her student.,58.98
0.4787431443758505,0.3618686042863579,0.1899970864811442,55.0,The pilot of a DA42 reported a malfunctioning engine that resulted in a successful return to the departure airport.,81.15
0.5036358748995856,0.287042517001972,0.3052533677095623,58.0,A PA46Ts electrical system failed completely while preparing for an approach. The pilot continued NORDO to his destination and found emergency equipment had been notified by ATC and was standing by for his arrival.,60.53
0.3280469836172341,0.4389657424633377,0.3505548967006468,47.0,Pilot reported that a crosswind on landing resulted in a runway excursion.,58.98
