cluster,text,frequency
0,laser,43
0,green,21
0,approach,18
0,crew,14
0,targeted,13
0,first,13
0,captain,13
0,carrier,12
0,pilot,12
0,officer,11
0,air,10
0,reports,8
0,illuminated,8
0,event,7
0,runway,7
0,final,6
0,eye,5
0,ft,5
0,cockpit,5
0,resulting,4
1,windshield,50
1,crew,34
1,window,32
1,first,23
1,shattered,22
1,captain's,22
1,cracked,21
1,captain,21
1,diverted,20
1,emergency,18
1,suitable,18
1,officer,16
1,outer,15
1,cockpit,15
1,declared,13
1,pane,11
1,nearest,11
1,pilot,11
1,qrh,10
1,airport,10
2,drone,103
2,approach,35
2,feet,33
2,pilot,30
2,captain,27
2,nmac,26
2,sighting,20
2,encountering,20
2,near,18
2,crew,17
2,runway,17
2,officer,16
2,reports,15
2,carrier,15
2,first,14
2,evasive,12
2,final,12
2,instructor,10
2,conflict,8
2,airport,8
3,crew,505
3,attendant,353
3,smoke,338
3,captain,307
3,odor,289
3,cabin,278
3,fumes,244
3,departure,167
3,attendants,160
3,first,143
3,officer,131
3,event,131
3,smell,129
3,strong,128
3,fume,128
3,passenger,121
3,burning,121
3,emergency,120
3,return,120
3,airport,108
4,crew,39
4,captain,25
4,deicing,18
4,deice,17
4,type,12
4,de-ice,11
4,ice,10
4,fluid,9
4,carrier,8
4,takeoff,8
4,reports,7
4,first,7
4,wing,6
4,ground,6
4,procedures,5
4,gate,5
4,properly,5
4,deiced,5
4,snow,5
4,procedure,5
5,icing,106
5,ice,49
5,pilot,44
5,conditions,41
5,crew,34
5,anti-ice,26
5,captain,23
5,descent,20
5,altitude,19
5,engine,19
5,airport,17
5,approach,17
5,due,16
5,emergency,16
5,ft,13
5,atc,12
5,encountering,12
5,system,12
5,unable,11
5,conditions;,11
6,gps,15
6,pilot,9
6,failure,5
6,flying,4
6,system,4
6,airspace,3
6,due,3
6,sfz.,2
6,experienced,2
6,atc,2
6,crew,2
6,captain,2
6,wide,2
6,pilots,2
6,single,1
6,engine,1
6,cessna,1
6,experiences,1
6,circling,1
6,minutes,1
7,gps,26
7,signal,25
7,loss,21
7,pilot,13
7,reports,8
7,captain,7
7,landing,5
7,three,5
7,helicopter,4
7,pad.,4
7,occurring,4
7,sporadically,4
7,last,4
7,months,4
7,previous,4
7,problems,4
7,near,4
7,area,4
7,carrier,4
7,two,3
8,gps,50
8,jamming,37
8,captain,30
8,carrier,19
8,experiencing,17
8,possible,9
8,pilot,9
8,loss,7
8,event,5
8,ads-b,5
8,suspected,5
8,flying,5
8,due,4
8,multiple,4
8,jamming.air,4
8,near,3
8,signal,3
8,jamming.b777,3
8,approach,3
8,iraqi,3
9,captain,95
9,carrier,69
9,fatigue,66
9,crew,62
9,first,57
9,officer,56
9,due,48
9,duty,42
9,day,41
9,scheduling,40
9,fatigued,35
9,air,32
9,pilot,32
9,time,31
9,rest,30
9,company,29
9,far,28
9,attendant,25
9,trip,16
9,night,16
10,lithium,73
10,ion,54
10,battery,51
10,captain,38
10,cargo,37
10,batteries,36
10,bag,31
10,hazmat,24
10,powered,24
10,passenger,20
10,agent,18
10,crew,18
10,transported,17
10,personnel,16
10,regarding,16
10,ramp,15
10,checked,14
10,officer,13
10,loaded,12
10,wheelchair,11
11,weight,101
11,crew,62
11,balance,58
11,captain,50
11,takeoff,36
11,load,29
11,cargo,24
11,incorrect,22
11,fuel,19
11,pounds,18
11,performance,16
11,data,16
11,error,15
11,first,13
11,weights,13
11,loaded,13
11,officer,12
11,carrier,12
11,dispatch,11
11,reports,10
12,hazmat,217
12,cargo,143
12,crew,112
12,personnel,100
12,captain,93
12,dangerous,87
12,goods,81
12,ground,74
12,load,66
12,ramp,63
12,carrier,55
12,regarding,48
12,required,46
12,loaded,42
12,breakdown,40
12,due,39
12,loading,38
12,without,36
12,incorrectly,34
12,gate,32
13,delayed,12
13,without,11
13,operations,7
13,loop,6
13,dispatch,5
13,contacting,3
13,notified.dispatcher,3
13,dispatcher,2
13,delay.dispatcher,2
13,delay,2
13,dispatch.dispatcher,2
13,dispatch.crew,2
13,local,2
13,advised,2
13,dispatcher.dispatcher,2
13,station,2
13,completely,1
13,lengthy,1
13,long,1
13,caused,1
14,controller,16
14,altitude,11
14,tracon,10
14,climb,6
14,air,5
14,carrier,5
14,via,5
14,sid,5
14,departure,4
14,low,4
14,crew,3
14,procedures,3
14,3;000,3
14,foot,3
14,issued,3
14,feet,3
14,clearance,3
14,higher,3
14,pilot,3
14,knik2,3
15,crew,70
15,windshear,67
15,approach,49
15,wind,47
15,captain,40
15,warning,25
15,shear,25
15,landing,24
15,first,21
15,due,21
15,officer,20
15,takeoff,18
15,final,18
15,go-around,17
15,runway,17
15,go,17
15,winds,16
15,severe,16
15,receiving,15
15,around,15
16,wake,68
16,vortex,62
16,encounter,47
16,captain,34
16,trail,26
16,resulted,20
16,approach,20
16,first,16
16,officer,16
16,crew,12
16,encountering,11
16,behind,10
16,degree,9
16,roll,9
16,departure,8
16,arrival,7
16,b737,7
16,departing,7
16,caused,6
16,deviation,6
17,turbulence,67
17,attendant,47
17,injuries,27
17,severe,26
17,crew,25
17,attendants,25
17,captain,22
17,encounter,21
17,wake,19
17,resulted,19
17,injured,16
17,minor,15
17,injury,15
17,encountered,15
17,carrier,14
17,two,10
17,cruise,10
17,encountering,9
17,moderate,9
17,descent,6
18,turbulence,89
18,severe,79
18,crew,48
18,encountering,31
18,loss,31
18,captain,30
18,control,25
18,altitude,23
18,pilot,21
18,encountered,18
18,encounter,14
18,resulted,13
18,moderate,12
18,momentary,10
18,wake,9
18,injuries,9
18,carrier,9
18,causing,9
18,air,8
18,assigned,8
19,wake,26
19,turbulence,25
19,encountering,14
19,crew,11
19,trail,8
19,preceding,7
19,takeoff,6
19,arrival,6
19,heavy,5
19,captain,5
19,first,4
19,officer,4
19,shortly,4
19,resulted,4
19,deviation,4
19,encountered,4
19,pilot,3
19,approach,3
19,descending,3
19,behind,3
20,wake,160
20,turbulence,155
20,encountering,125
20,trail,112
20,captain,94
20,approach,53
20,miles,37
20,arrival,34
20,officer,33
20,first,32
20,resulted,20
20,departing,16
20,encounter,15
20,b777,15
20,crew,13
20,takeoff,11
20,atl,11
20,b737,11
20,b757,9
20,degree,9
21,flaps,315
21,flap,297
21,crew,209
21,landing,111
21,captain,109
21,approach,78
21,edge,73
21,emergency,70
21,first,66
21,officer,63
21,eicas,62
21,qrh,59
21,declared,58
21,trailing,49
21,takeoff,47
21,landed,43
21,message,43
21,disagree,43
21,slat,37
21,approach.,36
22,operator,12
22,airspace,9
22,class,8
22,uav,7
22,pilot,6
22,without,4
22,far,3
22,operating,3
22,entering,3
22,c,3
22,violation,3
22,captain,2
22,feet,2
22,encounter,2
22,exceeding,2
22,107,2
22,altitude,2
22,authorization,2
22,inadvertently,2
22,failure,2
23,nmac,23
23,uav,17
23,captain,15
23,approach,7
23,pilot,6
23,final,5
23,carrier,4
23,approach.b737-700,2
23,first,2
23,officer,2
23,pa-28,1
23,reports,1
23,3;800,1
23,feet,1
23,approximately,1
23,8,1
23,nm,1
23,east,1
23,ffz.air,1
23,ny,1
24,uav,33
24,captain,18
24,feet,17
24,runway,16
24,carrier,15
24,near,14
24,approach,12
24,final,11
24,first,10
24,officer,10
24,miss,8
24,sighting,7
24,uas,7
24,pilot,7
24,crew,7
24,airborne,6
24,conflict,6
24,air,5
24,approximately,5
24,flying,5
25,ipad,45
25,captain,41
25,efb,23
25,first,21
25,officer,19
25,company,17
25,crew,15
25,pilot,13
25,charts,12
25,carrier,10
25,ipads,10
25,paper,9
25,mount,9
25,update,8
25,battery,8
25,new,8
25,reports,8
25,electronic,7
25,tablet,7
25,unable,6
26,rnav,20
26,controller,16
26,departure,9
26,sid,9
26,procedures,8
26,regarding,6
26,new,6
26,described,5
26,voiced,5
26,concern,5
26,departures,4
26,assigned,4
26,event,4
26,claiming,3
26,sids,3
26,two,2
26,pilot,2
26,confused,2
26,departing,2
26,suggested,2
27,captain,22
27,training,21
27,first,16
27,officer,15
27,new,13
27,carrier,11
27,company,10
27,lack,7
27,procedures,6
27,due,6
27,checklist,5
27,changes,5
27,pilot,4
27,flying,4
27,concern,4
27,covid-19,4
27,reports,3
27,inadequate,3
27,order,3
27,also,3
28,dispatcher,67
28,dispatch,38
28,carrier,32
28,crew,20
28,captain,17
28,new,15
28,due,15
28,computer,14
28,company,14
28,release,14
28,communication,13
28,flights,13
28,without,13
28,software,13
28,air,12
28,one,12
28,planning,11
28,control,10
28,workload,10
28,required,9
29,hydraulic,55
29,system,41
29,green,39
29,crew,30
29,loss,29
29,emergency,15
29,declared,15
29,a320,11
29,first,11
29,officer,11
29,fluid,11
29,captain,10
29,yellow,10
29,landing,9
29,failure,9
29,ecam,9
29,landed,8
29,low,8
29,departure,8
29,experiences,7
30,hydraulic,203
30,system,130
30,crew,82
30,loss,77
30,captain,53
30,emergency,51
30,landing,49
30,declared,43
30,airport,35
30,failure,34
30,pump,31
30,fluid,31
30,departure,29
30,left,27
30,first,26
30,pressure,25
30,officer,25
30,quantity,24
30,gear,23
30,low,23
31,runway,26
31,crew,23
31,ice,21
31,snow,20
31,taxiway,15
31,captain,11
31,braking,11
31,due,10
31,icy,9
31,pilot,9
31,taxiing,9
31,ramp,9
31,control,9
31,landing,8
31,resulted,7
31,slid,7
31,first,6
31,officer,6
31,taxi,6
31,surface,6
32,oxygen,127
32,crew,81
32,mask,38
32,bottle,37
32,captain,29
32,maintenance,23
32,valve,23
32,pressure,19
32,first,18
32,masks,18
32,o2,18
32,found,16
32,officer,14
32,system,13
32,technician,11
32,bottles,10
32,reports,10
32,passenger,10
32,handle,9
32,attendant,9
33,crew,241
33,cabin,229
33,pressurization,211
33,bleed,142
33,captain,132
33,loss,118
33,emergency,116
33,departure,108
33,descent,100
33,altitude,94
33,pack,83
33,pressure,72
33,airport,58
33,air,56
33,engine,55
33,warning,54
33,first,54
33,officer,53
33,declared,52
33,return,46
34,captain,21
34,cabin,18
34,air,17
34,temperatures,14
34,apu,12
34,inoperative,12
34,ground,11
34,conditioning,10
34,high,10
34,cooling,9
34,crew,9
34,temperature,9
34,hot,8
34,maintenance,8
34,equipment,7
34,attendant,6
34,reports,6
34,due,6
34,system,6
34,extreme,5
35,door,28
35,light,12
35,captain,12
35,crew,11
35,returned,10
35,warning,9
35,departure,9
35,emergency,7
35,seal,7
35,noise,6
35,pilot,6
35,cabin,5
35,takeoff,5
35,cockpit,5
35,return,4
35,illuminated,4
35,reports,4
35,air,4
35,resulting,4
35,departed,3
36,ecam,98
36,crew,50
36,captain,26
36,message,26
36,alerted,25
36,landing,25
36,departure,21
36,takeoff,21
36,gear,21
36,1,20
36,a320,19
36,engine,17
36,eng,17
36,a319,16
36,returned,15
36,fault,14
36,approach,13
36,2,13
36,maintenance,13
36,emergency,13
37,crew,16
37,captain,15
37,weather,15
37,carrier,14
37,volcanic,10
37,ash,10
37,pilot,8
37,atc,7
37,dispatcher,7
37,airport,7
37,air,6
37,due,6
37,route,6
37,dispatch,5
37,new,5
37,officer,5
37,terrain,5
37,high,5
37,first,4
37,departing,4
38,fuel,132
38,captain,57
38,crew,40
38,minimum,32
38,weather,27
38,low,23
38,carrier,22
38,destination,21
38,due,18
38,airport,17
38,required,17
38,landing,17
38,atc,16
38,first,14
38,officer,13
38,alternate,13
38,less,13
38,arrival,13
38,planned,13
38,dispatch,13
39,without,17
39,crew,16
39,landing,16
39,carrier,10
39,clearance,6
39,due,6
39,lack,5
39,flying,5
39,captain,4
39,fatigue,4
39,approach,3
39,landed,3
39,clearance.,3
39,incorrect,3
39,deviation,3
39,altitude,3
39,recent,3
39,covid-19,3
39,contributing,3
39,clearance.air,3
40,call,30
40,similar,29
40,sounding,21
40,controller,16
40,signs,15
40,company,11
40,carrier,11
40,sign,10
40,digit,10
40,concern,10
40,regarding,10
40,confused,9
40,four,9
40,described,8
40,voiced,8
40,air,8
40,time,7
40,captain,6
40,unsafe,6
40,event,5
41,bird,79
41,crew,63
41,strike,48
41,engine,42
41,takeoff,37
41,departure,31
41,damage,23
41,captain,20
41,returned,19
41,right,18
41,airport,14
41,return,13
41,resulted,13
41,struck,12
41,left,12
41,carrier,11
41,maintenance,11
41,multiple,11
41,strikes,11
41,landing,10
42,database,13
42,carrier,10
42,captain,10
42,crew,6
42,first,6
42,charts,6
42,new,5
42,navigation,5
42,officer,5
42,maintenance,3
42,pilot,3
42,discrepancy,2
42,fmc,2
42,may,2
42,reports,2
42,date,2
42,engine,2
42,fms,2
42,jeppesen,2
42,installed,2
43,autopilot,21
43,thrust,12
43,pilot,9
43,captain,9
43,crew,8
43,auto,8
43,control,6
43,approach,6
43,airspeed,5
43,trim,5
43,failure,5
43,speed,4
43,flying,4
43,pitch,3
43,engaged,3
43,atc,3
43,experienced,3
43,resulted,3
43,carrier,3
43,experiences,2
44,runway,95
44,lights,64
44,pilot,33
